Sample,Z
620,0.3266
621,0.3287
622,0.3307
623,0.3337
624,0.3364
625,0.3384
626,0.3405
627,0.3425
628,0.3447
629,0.3481
630,0.3506
631,0.3541
632,0.3579
633,0.3619
634,0.3654
635,0.3689
636,0.3724
637,0.3774
638,0.3806
639,0.3833
640,0.3871
641,0.3894
642,0.3931
643,0.3951
644,0.3987
645,0.4015
646,0.4049
647,0.4088
648,0.4128
649,0.4179
650,0.4225
651,0.4274
652,0.4337
653,0.4393
654,0.4448
655,0.4501
656,0.4547
657,0.4578
658,0.4608
659,0.4619
660,0.4634
661,0.4640
662,0.4654
663,0.4655
664,0.4653
665,0.4656
666,0.4658
667,0.4656
668,0.4672
669,0.4675
670,0.4672
671,0.4673
672,0.4675
673,0.4680
674,0.4677
675,0.4680
676,0.4678
677,0.4679
678,0.4675
679,0.4677
680,0.4673
681,0.4673
682,0.4674
683,0.4672
684,0.4674
685,0.4675
686,0.4674
687,0.4674
688,0.4676
689,0.4678
690,0.4677
691,0.4680
692,0.4688
693,0.4678
694,0.4679
695,0.4683
696,0.4683
697,0.4673
698,0.4675
699,0.4675
700,0.4677
701,0.4673
702,0.4674
703,0.4675
704,0.4673
705,0.4672
706,0.4675
707,0.4681
708,0.4677
709,0.4681
710,0.4681
711,0.4677
712,0.4681
713,0.4677
714,0.4678
715,0.4673
716,0.4674
717,0.4672
718,0.4672
719,0.4672
720,0.4660
721,0.4663
722,0.4672
723,0.4674
724,0.4675
725,0.4677
726,0.4680
727,0.4682
728,0.4679
729,0.4679
730,0.4678
731,0.4678
732,0.4679
733,0.4678
734,0.4677
735,0.4670
736,0.4673
737,0.4675
738,0.4677
739,0.4673
740,0.4676
741,0.4677
742,0.4677
743,0.4678
744,0.4684
745,0.4686
746,0.4683
747,0.4680
748,0.4686
749,0.4682
750,0.4681
751,0.4677
752,0.4673
753,0.4676
754,0.4673
755,0.4673
756,0.4674
757,0.4671
758,0.4675
759,0.4674
760,0.4673
761,0.4677
762,0.4675
763,0.4680
764,0.4680
765,0.4677
766,0.4683
767,0.4677
768,0.4673
769,0.4678
770,0.4675
771,0.4675
772,0.4673
773,0.4674
774,0.4674
775,0.4674
776,0.4674
777,0.4674
778,0.4678
779,0.4674
780,0.4676
781,0.4680
782,0.4674
783,0.4683
784,0.4680
785,0.4679
786,0.4680
787,0.4676
788,0.4675
789,0.4678
790,0.4669
791,0.4674
792,0.4675
793,0.4674
794,0.4674
795,0.4674
796,0.4673
797,0.4675
798,0.4673
799,0.4675
800,0.4677
801,0.4680
802,0.4677
803,0.4677
804,0.4685
805,0.4683
806,0.4678
807,0.4677
808,0.4681
809,0.4680
810,0.4678
811,0.4677
812,0.4680
813,0.4678
814,0.4680
815,0.4677
816,0.4676
817,0.4679
818,0.4684
819,0.4681
820,0.4683
821,0.4684
822,0.4688
823,0.4681
824,0.4683
825,0.4680
826,0.4679
827,0.4680
828,0.4677
829,0.4681
830,0.4677
831,0.4674
832,0.4676
833,0.4680
