Sample,Z
724,0.4700
725,0.4703
726,0.4712
727,0.4713
728,0.4715
729,0.4714
730,0.4730
731,0.4728
732,0.4729
733,0.4731
734,0.4729
735,0.4725
736,0.4718
737,0.4712
738,0.4713
739,0.4711
740,0.4701
741,0.4695
742,0.4692
743,0.4695
744,0.4694
745,0.4694
746,0.4693
747,0.4692
748,0.4694
749,0.4696
750,0.4698
751,0.4708
752,0.4711
753,0.4713
754,0.4712
755,0.4714
756,0.4713
757,0.4711
758,0.4714
759,0.4714
760,0.4717
761,0.4712
762,0.4715
763,0.4716
764,0.4715
765,0.4711
766,0.4714
767,0.4714
768,0.4714
769,0.4713
770,0.4713
771,0.4711
772,0.4711
773,0.4697
774,0.4698
775,0.4694
776,0.4693
777,0.4693
778,0.4694
779,0.4696
780,0.4693
781,0.4697
782,0.4698
783,0.4709
784,0.4711
785,0.4714
786,0.4715
787,0.4722
788,0.4729
789,0.4723
790,0.4728
791,0.4728
792,0.4721
793,0.4715
794,0.4714
795,0.4712
796,0.4706
797,0.4700
798,0.4696
799,0.4694
800,0.4694
801,0.4693
802,0.4694
803,0.4693
804,0.4694
805,0.4698
806,0.4677
807,0.4706
808,0.4710
809,0.4711
810,0.4713
811,0.4716
812,0.4717
813,0.4713
814,0.4717
815,0.4724
816,0.4720
817,0.4718
818,0.4714
819,0.4726
820,0.4719
821,0.4714
822,0.4716
823,0.4714
824,0.4714
825,0.4714
826,0.4709
827,0.4697
828,0.4702
829,0.4681
830,0.4702
831,0.4697
832,0.4697
833,0.4696
834,0.4697
835,0.4699
836,0.4700
837,0.4705
838,0.4712
839,0.4713
840,0.4716
841,0.4724
842,0.4728
843,0.4730
844,0.4730
845,0.4732
846,0.4731
847,0.4728
848,0.4729
849,0.4717
850,0.4713
851,0.4711
852,0.4706
853,0.4694
854,0.4696
855,0.4693
856,0.4693
857,0.4691
858,0.4693
859,0.4695
860,0.4695
861,0.4695
862,0.4706
863,0.4713
864,0.4711
865,0.4712
866,0.4713
867,0.4714
868,0.4719
869,0.4719
870,0.4717
871,0.4715
872,0.4718
873,0.4717
874,0.4720
875,0.4725
876,0.4719
877,0.4713
878,0.4714
879,0.4712
880,0.4713
881,0.4709
882,0.4706
883,0.4698
884,0.4701
885,0.4697
886,0.4693
887,0.4692
888,0.4692
889,0.4695
890,0.4694
891,0.4694
892,0.4700
893,0.4710
894,0.4713
895,0.4714
896,0.4718
897,0.4731
898,0.4730
899,0.4732
Rate 0, overflows 0
