Sample,X,Y,Z
458,0.016,0.031,0.922
459,0.008,0.035,0.922
460,0.023,0.039,0.918
461,0.016,0.039,0.926
462,0.023,0.027,0.922
463,0.020,0.031,0.926
464,0.020,0.039,0.926
465,0.012,0.031,0.922
466,0.016,0.031,0.922
467,0.020,0.027,0.918
468,0.008,0.035,0.922
469,0.016,0.051,0.918
470,0.020,0.035,0.922
471,0.012,0.031,0.918
472,0.012,0.035,0.922
473,0.008,0.027,0.918
474,0.012,0.043,0.914
475,0.008,0.035,0.926
476,0.012,0.043,0.922
477,0.008,0.039,0.922
478,0.004,0.027,0.926
479,0.008,0.027,0.914
480,0.008,0.043,0.918
481,0.000,0.031,0.918
482,0.000,0.031,0.914
483,0.012,0.039,0.922
484,0.000,0.031,0.926
485,0.008,0.027,0.926
486,0.004,0.027,0.922
487,0.004,0.027,0.926
488,0.000,0.035,0.914
489,0.000,0.031,0.922
490,0.000,0.039,0.922
491,0.000,0.035,0.930
492,0.012,0.031,0.918
493,0.004,0.039,0.910
494,0.000,0.027,0.918
495,0.000,0.039,0.906
496,0.004,0.027,0.926
497,0.004,0.043,0.926
498,0.000,0.031,0.922
499,0.000,0.035,0.914
500,0.004,0.039,0.926
501,0.000,0.031,0.914
502,0.004,0.035,0.930
503,0.000,0.035,0.914
504,0.008,0.031,0.918
505,0.008,0.031,0.922
506,0.008,0.027,0.922
507,0.004,0.027,0.914
508,0.008,0.027,0.922
509,0.012,0.031,0.922
510,0.008,0.027,0.926
511,0.004,0.039,0.922
512,0.000,0.039,0.922
513,0.004,0.035,0.910
514,0.004,0.027,0.918
515,0.004,0.031,0.922
516,0.004,0.043,0.926
517,0.008,0.031,0.918
518,0.008,0.043,0.930
519,0.012,0.035,0.926
520,0.008,0.035,0.918
521,0.008,0.027,0.902
522,0.008,0.035,0.922
523,0.004,0.035,0.926
524,0.004,0.031,0.930
525,0.004,0.039,0.918
526,0.004,0.031,0.922
527,0.004,0.031,0.922
528,0.004,0.027,0.914
529,0.008,0.035,0.918
530,0.008,0.035,0.918
531,0.004,0.031,0.922
532,0.008,0.039,0.918
533,0.008,0.047,0.930
534,0.004,0.039,0.922
535,0.008,0.035,0.930
536,0.012,0.035,0.914
537,0.012,0.031,0.918
538,0.008,0.031,0.926
539,0.004,0.039,0.918
540,0.000,0.031,0.926
541,0.000,0.027,0.910
542,0.004,0.039,0.918
543,0.004,0.027,0.926
544,0.012,0.027,0.918
545,0.004,0.035,0.914
546,0.016,0.039,0.926
547,0.008,0.035,0.914
548,0.004,0.027,0.926
549,0.004,0.031,0.926
550,0.004,0.031,0.926
551,0.012,0.031,0.914
552,0.004,0.031,0.922
553,0.012,0.035,0.922
554,0.008,0.027,0.922
555,0.008,0.035,0.918
556,0.008,0.027,0.926
557,0.004,0.031,0.910
558,0.008,0.031,0.914
559,0.008,0.035,0.922
560,0.016,0.039,0.922
561,0.016,0.039,0.910
562,0.004,0.043,0.922
563,0.008,0.027,0.910
564,0.008,0.031,0.930
565,0.012,0.035,0.918
566,0.008,0.031,0.922
567,0.012,0.047,0.918
568,0.004,0.039,0.930
569,0.008,0.035,0.930
570,0.008,0.035,0.922
571,0.000,0.039,0.918
572,0.012,0.035,0.914
573,0.008,0.027,0.922
574,0.004,0.043,0.926
575,0.008,0.035,0.914
576,0.004,0.035,0.918
577,0.008,0.031,0.930
578,0.000,0.035,0.918
579,0.000,0.043,0.926
580,0.004,0.039,0.926
581,0.012,0.027,0.926
582,0.004,0.035,0.926
583,0.000,0.031,0.926
584,0.008,0.035,0.918
585,0.004,0.035,0.914
586,0.004,0.027,0.910
587,0.000,0.027,0.926
588,0.004,0.035,0.934
589,0.004,0.031,0.922
590,0.004,0.027,0.922
591,0.000,0.035,0.914
592,0.000,0.047,0.918
593,0.004,0.035,0.922
594,0.000,0.039,0.918
595,0.012,0.035,0.918
596,0.008,0.035,0.918
597,0.004,0.035,0.918
598,0.000,0.031,0.918
599,0.004,0.035,0.922
600,0.004,0.035,0.922
601,0.000,0.035,0.922
602,0.012,0.031,0.922
603,0.004,0.035,0.922
604,0.008,0.035,0.922
605,0.004,0.027,0.918
606,0.012,0.039,0.914
607,0.012,0.039,0.910
608,0.004,0.035,0.914
609,0.012,0.039,0.922
610,0.008,0.031,0.926
611,0.020,0.039,0.926
612,0.008,0.039,0.922
613,0.004,0.035,0.922
614,0.008,0.031,0.922
615,0.008,0.031,0.918
616,0.008,0.043,0.922
617,0.012,0.039,0.918
618,0.008,0.027,0.918
619,0.016,0.035,0.914
620,0.012,0.031,0.918
621,0.020,0.035,0.926
622,0.016,0.031,0.922
623,0.012,0.039,0.922
624,0.008,0.035,0.910
625,0.012,0.031,0.910
626,0.004,0.039,0.918
627,0.012,0.039,0.922
628,0.016,0.027,0.926
629,0.004,0.035,0.926
630,0.012,0.043,0.914
631,0.012,0.031,0.926
632,0.012,0.031,0.926
633,0.012,0.031,0.922
634,0.008,0.035,0.918
635,0.008,0.027,0.922
636,0.012,0.035,0.926
637,0.012,0.031,0.926
638,0.004,0.031,0.926
639,0.012,0.031,0.918
640,0.012,0.031,0.926
641,0.008,0.035,0.930
642,0.004,0.035,0.922
643,0.000,0.035,0.922
644,0.004,0.035,0.918
645,0.008,0.031,0.926
646,0.004,0.035,0.922
647,0.004,0.035,0.926
648,0.004,0.027,0.930
649,0.000,0.035,0.918
650,0.000,0.031,0.922
651,0.004,0.035,0.934
652,0.004,0.023,0.918
653,0.004,0.039,0.922
654,0.004,0.031,0.926
655,0.004,0.027,0.926
656,0.000,0.031,0.926
657,0.008,0.039,0.926
658,0.016,0.039,0.926
